strength,dexterity,fighting,shieldsSkill,armourSkill,armourEncumb,shieldPenalty,species size,weap1 damage,w1 base delay,w1 min delay,w1 total slaying,brand,w1 ranged?,weap2 damage,w2 base delay,w2 min delay,w2 total slaying,w2 brand,w2 ranged?,,,Authorisation:,https://yagisanatode.com/2020/08/17/running-google-apps-script-for-the-first-time-whats-with-all-the-warnings/,,,,,,,,,,
Murray,14,1610,30,10,161,1.387279382,1.38024925,1.390744886,1.389972268,1.390513487,1.387339514,1.38389685,1.378322006,1.372589918,1.36516768,1.357157572,1.347332719,1.336499149,1.323993761,1.309750619,1.293964365,1.275758472,1.255576961,1.23256971,1.146582556,1.05985035,1.061325028,1.062428773,1.063696114,1.064612667,1.066201614,1.065910761,1.066372221
Antaeus,22,6820,28,4,682,1.387251814,1.380221822,1.390676202,1.389847098,1.390305299,1.386989581,1.383375731,1.377591351,1.371604264,1.363877622,1.35552059,1.345313175,1.334058062,1.321100683,1.306386111,1.290109665,1.271417973,1.250751617,1.227282926,1.141138562,1.054341919,1.055323978,1.05595583,1.056737094,1.057199874,1.058337307,1.057624171,1.057665411
Vv,23,2700,27,12,270,1.387152385,1.380122897,1.390511029,1.389608615,1.389963939,1.386506917,1.382735993,1.37677097,1.370578332,1.362619994,1.354010977,1.343537329,1.332001282,1.318756118,1.303754035,1.28719007,1.26822533,1.247296156,1.223588897,1.137419657,1.05065537,1.051382758,1.051777325,1.052316771,1.052560772,1.053479717,1.052573013,1.05241987
merged slime creature,20,600,27,2,60,1.387152385,1.380122897,1.390511029,1.389608615,1.389963939,1.386506917,1.382735993,1.37677097,1.370578332,1.362619994,1.354010977,1.343537329,1.332001282,1.318756118,1.303754035,1.28719007,1.26822533,1.247296156,1.223588897,1.137419657,1.05065537,1.051382758,1.051777325,1.052316771,1.052560772,1.053479717,1.052573013,1.05241987
nargun,22,540,25,4,54,1.38627518,1.379250137,1.389349949,1.388160851,1.388123061,1.384201963,1.379928675,1.373422471,1.366639229,1.358054597,1.348790926,1.337659469,1.325457302,1.311559589,1.295932448,1.2787662,1.25925366,1.237817948,1.213675422,1.127639133,1.041134079,1.041374899,1.041327981,1.041421493,1.04127675,1.04180263,1.040571267,1.040085173
Hell Sentinel,19,1425,25,3,142.5,1.38627518,1.379250137,1.389349949,1.388160851,1.388123061,1.384201963,1.379928675,1.373422471,1.366639229,1.358054597,1.348790926,1.337659469,1.325457302,1.311559589,1.295932448,1.2787662,1.25925366,1.237817948,1.213675422,1.127639133,1.041134079,1.041374899,1.041327981,1.041421493,1.04127675,1.04180263,1.040571267,1.040085173
iron golem,15,3000,25,5,300,1.38627518,1.379250137,1.389349949,1.388160851,1.388123061,1.384201963,1.379928675,1.373422471,1.366639229,1.358054597,1.348790926,1.337659469,1.325457302,1.311559589,1.295932448,1.2787662,1.25925366,1.237817948,1.213675422,1.127639133,1.041134079,1.041374899,1.041327981,1.041421493,1.04127675,1.04180263,1.040571267,1.040085173
curse toe,14,980,25,1,98,1.38627518,1.379250137,1.389349949,1.388160851,1.388123061,1.384201963,1.379928675,1.373422471,1.366639229,1.358054597,1.348790926,1.337659469,1.325457302,1.311559589,1.295932448,1.2787662,1.25925366,1.237817948,1.213675422,1.127639133,1.041134079,1.041374899,1.041327981,1.041421493,1.04127675,1.04180263,1.040571267,1.040085173
Bai Suzhen,20,1850,22,4,185,1.380307309,1.373312509,1.382479711,1.380415801,1.379247422,1.374183843,1.368711836,1.361050165,1.353062489,1.343317529,1.332907138,1.32070512,1.307482223,1.292651942,1.276192626,1.258276017,1.238151203,1.216200273,1.191693473,1.106512481,1.021048951,1.020731538,1.020201828,1.019814116,1.019283757,1.01939716,1.017890017,1.017093181
crystal guardian,16,640,22,0,64,1.380307309,1.373312509,1.382479711,1.380415801,1.379247422,1.374183843,1.368711836,1.361050165,1.353062489,1.343317529,1.332907138,1.32070512,1.307482223,1.292651942,1.276192626,1.258276017,1.238151203,1.216200273,1.191693473,1.106512481,1.021048951,1.020731538,1.020201828,1.019814116,1.019283757,1.01939716,1.017890017,1.017093181
war gargoyle,13,520,22,4,52,1.380307309,1.373312509,1.382479711,1.380415801,1.379247422,1.374183843,1.368711836,1.361050165,1.353062489,1.343317529,1.332907138,1.32070512,1.307482223,1.292651942,1.276192626,1.258276017,1.238151203,1.216200273,1.191693473,1.106512481,1.021048951,1.020731538,1.020201828,1.019814116,1.019283757,1.01939716,1.017890017,1.017093181
orb of fire,30,1500,20,20,150,1.370228482,1.363284757,1.371495483,1.36869299,1.366529316,1.360612149,1.354252434,1.345814022,1.33705435,1.326622542,1.31556663,1.302816372,1.289108041,1.273878895,1.257108944,1.238955399,1.218705135,1.196702141,1.172252686,1.088169027,1.003899746,1.00338213,1.002694365,1.002152295,1.001523339,1.001504102,0.9999677259,0.9991025637
ancient lich,27,1080,20,10,108,1.370228482,1.363284757,1.371495483,1.36869299,1.366529316,1.360612149,1.354252434,1.345814022,1.33705435,1.326622542,1.31556663,1.302816372,1.289108041,1.273878895,1.257108944,1.238955399,1.218705135,1.196702141,1.172252686,1.088169027,1.003899746,1.00338213,1.002694365,1.002152295,1.001523339,1.001504102,0.9999677259,0.9991025637
dread lich,27,1080,20,10,108,1.370228482,1.363284757,1.371495483,1.36869299,1.366529316,1.360612149,1.354252434,1.345814022,1.33705435,1.326622542,1.31556663,1.302816372,1.289108041,1.273878895,1.257108944,1.238955399,1.218705135,1.196702141,1.172252686,1.088169027,1.003899746,1.00338213,1.002694365,1.002152295,1.001523339,1.001504102,0.9999677259,0.9991025637
walking tome,27,1000,20,5,100,1.370228482,1.363284757,1.371495483,1.36869299,1.366529316,1.360612149,1.354252434,1.345814022,1.33705435,1.326622542,1.31556663,1.302816372,1.289108041,1.273878895,1.257108944,1.238955399,1.218705135,1.196702141,1.172252686,1.088169027,1.003899746,1.00338213,1.002694365,1.002152295,1.001523339,1.001504102,0.9999677259,0.9991025637
bone dragon,20,1800,20,4,180,1.370228482,1.363284757,1.371495483,1.36869299,1.366529316,1.360612149,1.354252434,1.345814022,1.33705435,1.326622542,1.31556663,1.302816372,1.289108041,1.273878895,1.257108944,1.238955399,1.218705135,1.196702141,1.172252686,1.088169027,1.003899746,1.00338213,1.002694365,1.002152295,1.001523339,1.001504102,0.9999677259,0.9991025637
juggernaut,20,1700,20,5,170,1.370228482,1.363284757,1.371495483,1.36869299,1.366529316,1.360612149,1.354252434,1.345814022,1.33705435,1.326622542,1.31556663,1.302816372,1.289108041,1.273878895,1.257108944,1.238955399,1.218705135,1.196702141,1.172252686,1.088169027,1.003899746,1.00338213,1.002694365,1.002152295,1.001523339,1.001504102,0.9999677259,0.9991025637
iron dragon,18,1170,20,6,117,1.370228482,1.363284757,1.371495483,1.36869299,1.366529316,1.360612149,1.354252434,1.345814022,1.33705435,1.326622542,1.31556663,1.302816372,1.289108041,1.273878895,1.257108944,1.238955399,1.218705135,1.196702141,1.172252686,1.088169027,1.003899746,1.00338213,1.002694365,1.002152295,1.001523339,1.001504102,0.9999677259,0.9991025637
moon troll,18,990,20,4,99,1.370228482,1.363284757,1.371495483,1.36869299,1.366529316,1.360612149,1.354252434,1.345814022,1.33705435,1.326622542,1.31556663,1.302816372,1.289108041,1.273878895,1.257108944,1.238955399,1.218705135,1.196702141,1.172252686,1.088169027,1.003899746,1.00338213,1.002694365,1.002152295,1.001523339,1.001504102,0.9999677259,0.9991025637
the Serpent of Hell,17,2805,20,12,280.5,1.370228482,1.363284757,1.371495483,1.36869299,1.366529316,1.360612149,1.354252434,1.345814022,1.33705435,1.326622542,1.31556663,1.302816372,1.289108041,1.273878895,1.257108944,1.238955399,1.218705135,1.196702141,1.172252686,1.088169027,1.003899746,1.00338213,1.002694365,1.002152295,1.001523339,1.001504102,0.9999677259,0.9991025637
kraken,16,2080,20,0,208,1.370228482,1.363284757,1.371495483,1.36869299,1.366529316,1.360612149,1.354252434,1.345814022,1.33705435,1.326622542,1.31556663,1.302816372,1.289108041,1.273878895,1.257108944,1.238955399,1.218705135,1.196702141,1.172252686,1.088169027,1.003899746,1.00338213,1.002694365,1.002152295,1.001523339,1.001504102,0.9999677259,0.9991025637
iron troll,16,880,20,4,88,1.370228482,1.363284757,1.371495483,1.36869299,1.366529316,1.360612149,1.354252434,1.345814022,1.33705435,1.326622542,1.31556663,1.302816372,1.289108041,1.273878895,1.257108944,1.238955399,1.218705135,1.196702141,1.172252686,1.088169027,1.003899746,1.00338213,1.002694365,1.002152295,1.001523339,1.001504102,0.9999677259,0.9991025637
Roxanne,14,1820,20,0,182,1.370228482,1.363284757,1.371495483,1.36869299,1.366529316,1.360612149,1.354252434,1.345814022,1.33705435,1.326622542,1.31556663,1.302816372,1.289108041,1.273878895,1.257108944,1.238955399,1.218705135,1.196702141,1.172252686,1.088169027,1.003899746,1.00338213,1.002694365,1.002152295,1.001523339,1.001504102,0.9999677259,0.9991025637
iron elemental,12,1080,20,2,108,1.370228482,1.363284757,1.371495483,1.36869299,1.366529316,1.360612149,1.354252434,1.345814022,1.33705435,1.326622542,1.31556663,1.302816372,1.289108041,1.273878895,1.257108944,1.238955399,1.218705135,1.196702141,1.172252686,1.088169027,1.003899746,1.00338213,1.002694365,1.002152295,1.001523339,1.001504102,0.9999677259,0.9991025637
boulder beetle,12,765,20,2,76.5,1.370228482,1.363284757,1.371495483,1.36869299,1.366529316,1.360612149,1.354252434,1.345814022,1.33705435,1.326622542,1.31556663,1.302816372,1.289108041,1.273878895,1.257108944,1.238955399,1.218705135,1.196702141,1.172252686,1.088169027,1.003899746,1.00338213,1.002694365,1.002152295,1.001523339,1.001504102,0.9999677259,0.9991025637
peacekeeper,12,450,20,3,45,1.370228482,1.363284757,1.371495483,1.36869299,1.366529316,1.360612149,1.354252434,1.345814022,1.33705435,1.326622542,1.31556663,1.302816372,1.289108041,1.273878895,1.257108944,1.238955399,1.218705135,1.196702141,1.172252686,1.088169027,1.003899746,1.00338213,1.002694365,1.002152295,1.001523339,1.001504102,0.9999677259,0.9991025637
alligator snapping turtle,16,1440,19,1,144,1.362742891,1.3558371,1.363488009,1.360344753,1.357676721,1.351373089,1.344618328,1.335855717,1.326780566,1.316090316,1.304800268,1.291872211,1.278021873,1.262697399,1.245876649,1.227710096,1.207501743,1.185575651,1.161253817,1.077875449,0.9943465373,0.9937833435,0.9930671053,0.9924984509,0.9918660873,0.991822017,0.9903140409,0.9894536474
iron giant,18,1800,18,2,180,1.353502462,1.346643497,1.353699115,1.350260971,1.347121297,1.340484744,1.333392858,1.324375604,1.315052739,1.304177659,1.292728868,1.279701571,1.265787395,1.250444224,1.233646427,1.215539628,1.195442583,1.173659926,1.149528361,1.066948976,0.9842445381,0.9836692768,0.9829559146,0.9823915655,0.9817830294,0.981738933,0.9802845118,0.979451843
emperor scorpion,14,1090,18,7,109,1.353502462,1.346643497,1.353699115,1.350260971,1.347121297,1.340484744,1.333392858,1.324375604,1.315052739,1.304177659,1.292728868,1.279701571,1.265787395,1.250444224,1.233646427,1.215539628,1.195442583,1.173659926,1.149528361,1.066948976,0.9842445381,0.9836692768,0.9829559146,0.9823915655,0.9817830294,0.981738933,0.9802845118,0.979451843
soul eater,11,605,18,10,60.5,1.353502462,1.346643497,1.353699115,1.350260971,1.347121297,1.340484744,1.333392858,1.324375604,1.315052739,1.304177659,1.292728868,1.279701571,1.265787395,1.250444224,1.233646427,1.215539628,1.195442583,1.173659926,1.149528361,1.066948976,0.9842445381,0.9836692768,0.9829559146,0.9823915655,0.9817830294,0.981738933,0.9802845118,0.979451843
gargoyle,6,270,18,6,27,1.353502462,1.346643497,1.353699115,1.350260971,1.347121297,1.340484744,1.333392858,1.324375604,1.315052739,1.304177659,1.292728868,1.279701571,1.265787395,1.250444224,1.233646427,1.215539628,1.195442583,1.173659926,1.149528361,1.066948976,0.9842445381,0.9836692768,0.9829559146,0.9823915655,0.9817830294,0.981738933,0.9802845118,0.979451843
the Serpent of Hell,17,3230,16,12,323,1.32984815,1.323109055,1.328941482,1.325093336,1.321213189,1.314132492,1.306589886,1.297314507,1.287747263,1.276754086,1.265233429,1.252248539,1.238443496,1.223285984,1.206742521,1.188954198,1.169264858,1.147943142,1.124355665,1.043606841,0.9627577947,0.9622450973,0.961617749,0.9611404609,0.9606473487,0.960665611,0.959380094,0.9586599417
the Serpent of Hell,17,2805,16,12,280.5,1.32984815,1.323109055,1.328941482,1.325093336,1.321213189,1.314132492,1.306589886,1.297314507,1.287747263,1.276754086,1.265233429,1.252248539,1.238443496,1.223285984,1.206742521,1.188954198,1.169264858,1.147943142,1.124355665,1.043606841,0.9627577947,0.9622450973,0.961617749,0.9611404609,0.9606473487,0.960665611,0.959380094,0.9586599417
starflower,16,900,16,0,90,1.32984815,1.323109055,1.328941482,1.325093336,1.321213189,1.314132492,1.306589886,1.297314507,1.287747263,1.276754086,1.265233429,1.252248539,1.238443496,1.223285984,1.206742521,1.188954198,1.169264858,1.147943142,1.124355665,1.043606841,0.9627577947,0.9622450973,0.961617749,0.9611404609,0.9606473487,0.960665611,0.959380094,0.9586599417
grey draconian,14,980,16,10,98,1.32984815,1.323109055,1.328941482,1.325093336,1.321213189,1.314132492,1.306589886,1.297314507,1.287747263,1.276754086,1.265233429,1.252248539,1.238443496,1.223285984,1.206742521,1.188954198,1.169264858,1.147943142,1.124355665,1.043606841,0.9627577947,0.9622450973,0.961617749,0.9611404609,0.9606473487,0.960665611,0.959380094,0.9586599417
pandemonium lord,19,1710,1,2,171,1.095060875,1.08951158,1.089468986,1.086472867,1.083183513,1.078411379,1.073140132,1.066883686,1.060246728,1.052653145,1.044496354,1.035344581,1.025459321,1.01445512,1.002266952,0.9889796436,0.9741950054,0.9579234654,0.9397559224,0.8736167398,0.8072354513,0.8080747385,0.8088599633,0.8097178282,0.8105684373,0.8115882755,0.8119862819,0.8125850717
snapping turtle,10,600,16,5,60,1.32984815,1.323109055,1.328941482,1.325093336,1.321213189,1.314132492,1.306589886,1.297314507,1.287747263,1.276754086,1.265233429,1.252248539,1.238443496,1.223285984,1.206742521,1.188954198,1.169264858,1.147943142,1.124355665,1.043606841,0.9627577947,0.9622450973,0.961617749,0.9611404609,0.9606473487,0.960665611,0.959380094,0.9586599417
hellwing,7,455,16,10,45.5,1.32984815,1.323109055,1.328941482,1.325093336,1.321213189,1.314132492,1.306589886,1.297314507,1.287747263,1.276754086,1.265233429,1.252248539,1.238443496,1.223285984,1.206742521,1.188954198,1.169264858,1.147943142,1.124355665,1.043606841,0.9627577947,0.9622450973,0.961617749,0.9611404609,0.9606473487,0.960665611,0.959380094,0.9586599417
Xtahua,20,1330,15,7,133,1.315673756,1.309006491,1.314241326,1.31028765,1.306170915,1.299002948,1.291364975,1.282091414,1.272533404,1.261607436,1.250171072,1.237317931,1.223672107,1.208703732,1.192375682,1.174828946,1.155420988,1.134400738,1.111150793,1.031405649,0.9515618287,0.9511151512,0.950562971,0.9501601679,0.9497508176,0.9498246568,0.9486472789,0.948005648
Nikola,18,1890,1,9,189,1.095060875,1.08951158,1.089468986,1.086472867,1.083183513,1.078411379,1.073140132,1.066883686,1.060246728,1.052653145,1.044496354,1.035344581,1.025459321,1.01445512,1.002266952,0.9889796436,0.9741950054,0.9579234654,0.9397559224,0.8736167398,0.8072354513,0.8080747385,0.8088599633,0.8097178282,0.8105684373,0.8115882755,0.8119862819,0.8125850717
acid blob,18,990,1,3,99,1.095060875,1.08951158,1.089468986,1.086472867,1.083183513,1.078411379,1.073140132,1.066883686,1.060246728,1.052653145,1.044496354,1.035344581,1.025459321,1.01445512,1.002266952,0.9889796436,0.9741950054,0.9579234654,0.9397559224,0.8736167398,0.8072354513,0.8080747385,0.8088599633,0.8097178282,0.8105684373,0.8115882755,0.8119862819,0.8125850717
ironbound thunderhulk,18,880,1,8,88,1.095060875,1.08951158,1.089468986,1.086472867,1.083183513,1.078411379,1.073140132,1.066883686,1.060246728,1.052653145,1.044496354,1.035344581,1.025459321,1.01445512,1.002266952,0.9889796436,0.9741950054,0.9579234654,0.9397559224,0.8736167398,0.8072354513,0.8080747385,0.8088599633,0.8097178282,0.8105684373,0.8115882755,0.8119862819,0.8125850717
bush,20,1100,15,0,110,1.315673756,1.309006491,1.314241326,1.31028765,1.306170915,1.299002948,1.291364975,1.282091414,1.272533404,1.261607436,1.250171072,1.237317931,1.223672107,1.208703732,1.192375682,1.174828946,1.155420988,1.134400738,1.111150793,1.031405649,0.9515618287,0.9511151512,0.950562971,0.9501601679,0.9497508176,0.9498246568,0.9486472789,0.948005648
Mennas,19,1520,15,28,152,1.315673756,1.309006491,1.314241326,1.31028765,1.306170915,1.299002948,1.291364975,1.282091414,1.272533404,1.261607436,1.250171072,1.237317931,1.223672107,1.208703732,1.192375682,1.174828946,1.155420988,1.134400738,1.111150793,1.031405649,0.9515618287,0.9511151512,0.950562971,0.9501601679,0.9497508176,0.9498246568,0.9486472789,0.948005648
cactus giant,18,1500,15,2,150,1.315673756,1.309006491,1.314241326,1.31028765,1.306170915,1.299002948,1.291364975,1.282091414,1.272533404,1.261607436,1.250171072,1.237317931,1.223672107,1.208703732,1.192375682,1.174828946,1.155420988,1.134400738,1.111150793,1.031405649,0.9515618287,0.9511151512,0.950562971,0.9501601679,0.9497508176,0.9498246568,0.9486472789,0.948005648
golden dragon,18,1080,15,7,108,1.315673756,1.309006491,1.314241326,1.31028765,1.306170915,1.299002948,1.291364975,1.282091414,1.272533404,1.261607436,1.250171072,1.237317931,1.223672107,1.208703732,1.192375682,1.174828946,1.155420988,1.134400738,1.111150793,1.031405649,0.9515618287,0.9511151512,0.950562971,0.9501601679,0.9497508176,0.9498246568,0.9486472789,0.948005648
Brimstone Fiend,18,990,15,6,99,1.315673756,1.309006491,1.314241326,1.31028765,1.306170915,1.299002948,1.291364975,1.282091414,1.272533404,1.261607436,1.250171072,1.237317931,1.223672107,1.208703732,1.192375682,1.174828946,1.155420988,1.134400738,1.111150793,1.031405649,0.9515618287,0.9511151512,0.950562971,0.9501601679,0.9497508176,0.9498246568,0.9486472789,0.948005648
Ice Fiend,18,990,15,6,99,1.315673756,1.309006491,1.314241326,1.31028765,1.306170915,1.299002948,1.291364975,1.282091414,1.272533404,1.261607436,1.250171072,1.237317931,1.223672107,1.208703732,1.192375682,1.174828946,1.155420988,1.134400738,1.111150793,1.031405649,0.9515618287,0.9511151512,0.950562971,0.9501601679,0.9497508176,0.9498246568,0.9486472789,0.948005648
shadow dragon,17,1275,15,10,127.5,1.315673756,1.309006491,1.314241326,1.31028765,1.306170915,1.299002948,1.291364975,1.282091414,1.272533404,1.261607436,1.250171072,1.237317931,1.223672107,1.208703732,1.192375682,1.174828946,1.155420988,1.134400738,1.111150793,1.031405649,0.9515618287,0.9511151512,0.950562971,0.9501601679,0.9497508176,0.9498246568,0.9486472789,0.948005648
Geryon,15,3000,15,6,300,1.315673756,1.309006491,1.314241326,1.31028765,1.306170915,1.299002948,1.291364975,1.282091414,1.272533404,1.261607436,1.250171072,1.237317931,1.223672107,1.208703732,1.192375682,1.174828946,1.155420988,1.134400738,1.111150793,1.031405649,0.9515618287,0.9511151512,0.950562971,0.9501601679,0.9497508176,0.9498246568,0.9486472789,0.948005648
walking crystal tome,15,1000,15,5,100,1.315673756,1.309006491,1.314241326,1.31028765,1.306170915,1.299002948,1.291364975,1.282091414,1.272533404,1.261607436,1.250171072,1.237317931,1.223672107,1.208703732,1.192375682,1.174828946,1.155420988,1.134400738,1.111150793,1.031405649,0.9515618287,0.9511151512,0.950562971,0.9501601679,0.9497508176,0.9498246568,0.9486472789,0.948005648
reaper,14,770,15,10,77,1.315673756,1.309006491,1.314241326,1.31028765,1.306170915,1.299002948,1.291364975,1.282091414,1.272533404,1.261607436,1.250171072,1.237317931,1.223672107,1.208703732,1.192375682,1.174828946,1.155420988,1.134400738,1.111150793,1.031405649,0.9515618287,0.9511151512,0.950562971,0.9501601679,0.9497508176,0.9498246568,0.9486472789,0.948005648
ancient champion,14,700,15,10,70,1.315673756,1.309006491,1.314241326,1.31028765,1.306170915,1.299002948,1.291364975,1.282091414,1.272533404,1.261607436,1.250171072,1.237317931,1.223672107,1.208703732,1.192375682,1.174828946,1.155420988,1.134400738,1.111150793,1.031405649,0.9515618287,0.9511151512,0.950562971,0.9501601679,0.9497508176,0.9498246568,0.9486472789,0.948005648
skeletal warrior,10,650,15,10,65,1.315673756,1.309006491,1.314241326,1.31028765,1.306170915,1.299002948,1.291364975,1.282091414,1.272533404,1.261607436,1.250171072,1.237317931,1.223672107,1.208703732,1.192375682,1.174828946,1.155420988,1.134400738,1.111150793,1.031405649,0.9515618287,0.9511151512,0.950562971,0.9501601679,0.9497508176,0.9498246568,0.9486472789,0.948005648
armataur,8,450,15,5,45,1.315673756,1.309006491,1.314241326,1.31028765,1.306170915,1.299002948,1.291364975,1.282091414,1.272533404,1.261607436,1.250171072,1.237317931,1.223672107,1.208703732,1.192375682,1.174828946,1.155420988,1.134400738,1.111150793,1.031405649,0.9515618287,0.9511151512,0.950562971,0.9501601679,0.9497508176,0.9498246568,0.9486472789,0.948005648
animated tree,8,270,15,5,27,1.315673756,1.309006491,1.314241326,1.31028765,1.306170915,1.299002948,1.291364975,1.282091414,1.272533404,1.261607436,1.250171072,1.237317931,1.223672107,1.208703732,1.192375682,1.174828946,1.155420988,1.134400738,1.111150793,1.031405649,0.9515618287,0.9511151512,0.950562971,0.9501601679,0.9497508176,0.9498246568,0.9486472789,0.948005648
block of ice,3,285,15,0,28.5,1.315673756,1.309006491,1.314241326,1.31028765,1.306170915,1.299002948,1.291364975,1.282091414,1.272533404,1.261607436,1.250171072,1.237317931,1.223672107,1.208703732,1.192375682,1.174828946,1.155420988,1.134400738,1.111150793,1.031405649,0.9515618287,0.9511151512,0.950562971,0.9501601679,0.9497508176,0.9498246568,0.9486472789,0.948005648
Chuck,18,1170,14,2,117,1.300199385,1.293610537,1.298272439,1.294284687,1.290024403,1.282868277,1.275225931,1.266035771,1.256565796,1.245777961,1.234491785,1.221833294,1.208403736,1.193675247,1.177607682,1.160343864,1.141255638,1.120571567,1.097690174,1.018988817,0.9401857087,0.9398225562,0.9393617807,0.9390486331,0.9387354022,0.9388767001,0.9378182257,0.9372655524
molten gargoyle,7,315,14,7,31.5,1.300199385,1.293610537,1.298272439,1.294284687,1.290024403,1.282868277,1.275225931,1.266035771,1.256565796,1.245777961,1.234491785,1.221833294,1.208403736,1.193675247,1.177607682,1.160343864,1.141255638,1.120571567,1.097690174,1.018988817,0.9401857087,0.9398225562,0.9393617807,0.9390486331,0.9387354022,0.9388767001,0.9378182257,0.9372655524
elemental,6,450,14,4,45,1.300199385,1.293610537,1.298272439,1.294284687,1.290024403,1.282868277,1.275225931,1.266035771,1.256565796,1.245777961,1.234491785,1.221833294,1.208403736,1.193675247,1.177607682,1.160343864,1.141255638,1.120571567,1.097690174,1.018988817,0.9401857087,0.9398225562,0.9393617807,0.9390486331,0.9387354022,0.9388767001,0.9378182257,0.9372655524
Nellie,20,2400,13,10,240,1.283697789,1.277192564,1.28131311,1.277362056,1.273045264,1.265986447,1.258426391,1.249389161,1.240073224,1.22948086,1.218395841,1.205980571,1.192810786,1.178361312,1.1625896,1.145640879,1.126901149,1.10657889,1.084087996,1.006456857,0.9287170757,0.9284500677,0.9280924646,0.9278796401,0.9276709003,0.9278880306,0.9269561772,0.9265002142
hellephant,20,1700,13,10,170,1.283697789,1.277192564,1.28131311,1.277362056,1.273045264,1.265986447,1.258426391,1.249389161,1.240073224,1.22948086,1.218395841,1.205980571,1.192810786,1.178361312,1.1625896,1.145640879,1.126901149,1.10657889,1.084087996,1.006456857,0.9287170757,0.9284500677,0.9280924646,0.9278796401,0.9276709003,0.9278880306,0.9269561772,0.9265002142
